Guest_ID,First_Name,Last_Name,Email,Phone,Relationship,RSVP_Status,Dietary_Restrictions,Plus_One,Table_Number,Gift_Received
1,Chad,Broseph,chad.bro@gainz.com,555-0101,Groom's Gym Buddy,Accepted,Only eats chicken and rice,Yes,7,Protein powder set
2,Brenda,Awkwardsilence,brenda.awk@hotmail.com,555-0102,Bride's Middle School Enemy,Declined,None,No,0,Passive-aggressive card
3,Uncle,Inappropriate,uncle.i@familyreunions.net,555-0103,Groom's Uncle,Accepted,Refuses vegetables,Yes,12,Opened bar tab early
4,Karen,Complainsalot,karen.mgr@speaktoyour.com,555-0104,Bride's Former Boss,Accepted,Gluten-free (self-diagnosed),No,3,Returned gift twice
5,DJ,Actualname,dj.real@turntables.com,555-0105,Friend from College,Accepted,None,Yes,8,Offered to DJ for free
6,Grandma,Forgetful,nana@aol.com,555-0106,Groom's Grandmother,Accepted,Soft foods only,No,1,Asked who's getting married
7,Brad,Stillsingle,brad.why@dating.com,555-0107,Groom's Best Man,Accepted,Keto (mentions it hourly),No,5,Cried during speech
8,Stacy,Exgirlfriend,stacy.awk@yikes.com,555-0108,Groom's Ex,Declined,N/A,No,0,Sent congratulations... sort of
9,Dave,Crasher,dave.notinvited@gmail.com,555-0109,Unknown,Accepted,Will eat anything,Yes,0,How did he get in here?
10,Linda,Overemotional,linda.tears@tissue.com,555-0110,Bride's Aunt,Accepted,None,Yes,2,Cried through entire ceremony
11,Bob,Dadjoker,bob.puns@comedy.net,555-0111,Groom's Father,Accepted,None,No,1,Speech was 40% puns
12,Crystal,Psychic,crystal.future@mystic.com,555-0112,Bride's Yoga Instructor,Tentative,Vegan + crystals only,Yes,9,Predicted divorce (awkward)
13,Mike,Microphone,mike.singer@karaoke.com,555-0113,College Roommate,Accepted,None,Yes,8,Sang during dinner
14,Patricia,Photographer,pat.camera@snap.com,555-0114,Bride's Friend,Accepted,Pescatarian,No,4,Took 4000 photos
15,Gary,Conspiracy,gary.truth@illuminati.net,555-0115,Coworker,Accepted,Non-GMO only,No,11,Thinks wedding is fake
16,Jennifer,Mlmboss,jen.bossbabe@pyramid.com,555-0116,Bride's Cousin,Accepted,None,Yes,6,Pitched essential oils
17,Tom,Toomuch,tom.party@blackout.com,555-0117,Groom's Fraternity Brother,Accepted,None,Yes,10,Left in ambulance
18,Susan,Vaguebooker,susan.drama@facebook.com,555-0118,Bride's Coworker,Accepted,None,No,3,Live-tweeted ceremony
19,Frank,Frankly,frank.honest@truth.com,555-0119,Groom's Uncle,Accepted,Meat only,No,12,Too honest in speech
20,Rachel,Bridesmaidzilla,rachel.drama@wedding.com,555-0120,Bride's Maid of Honor,Accepted,Gluten-free,No,5,Wore white (accident?)
21,Kevin,Kevinalone,kevin.home@movies.com,555-0121,Ring Bearer,Accepted,Chicken nuggets,No,1,Lost the rings
22,Meredith,Wineoclock,meredith.cork@vineyard.com,555-0122,Bride's College Friend,Accepted,None,Yes,4,Finished 3 bottles solo
23,Phil,Philosophy,phil.deep@existential.edu,555-0123,Groom's Professor,Tentative,Vegetarian,No,9,Debated vows meaning
24,Debbie,Downer,debbie.rain@cloud.com,555-0124,Bride's Neighbor,Accepted,None,No,11,Mentioned divorce rates
25,Tyler,Tinder,tyler.swipe@dating.app,555-0125,Groom's Friend,Accepted,Paleo,No,10,Swiping during vows
